RAh,RAm,RAs,eRA,DE-,DEd,DEm,DEs,eDE,S1.266,e_S1.266,Group,PixX,PixY
4,0,9.342,0.124,-,80,1,33.88,0.32,41.9,3.5,,3815.7,2037.7
4,0,14.104,0.21,-,80,3,18.21,0.54,13.4,1.8,,3801.1,1955.0
4,0,14.831,0.116,-,80,4,56.03,0.3,49.0,3.9,,3795.1,1876.9
4,0,16.101,0.141,-,79,57,13.2,0.37,31.2,2.9,,3813.5,2246.7
4,0,16.169,0.145,-,80,4,39.02,0.37,29.7,2.8,,3793.1,1890.7
4,0,16.965,0.19,-,79,56,44.97,0.49,16.1,2.0,,3812.9,2269.4
4,0,17.447,0.173,-,80,1,3.4,0.45,20.0,2.2,,3800.2,2063.0
4,0,17.506,0.146,-,80,4,3.8,0.38,29.4,2.8,,3792.0,1918.9
4,0,17.749,0.18,-,79,59,14.76,0.47,18.2,2.1,,3804.5,2149.8
4,0,18.516,0.145,-,79,59,49.35,0.38,29.6,2.8,,3801.4,2122.3
4,0,19.149,0.192,-,79,59,28.74,0.5,15.9,2.0,,3801.0,2138.8
4,0,19.189,0.068,-,79,59,42.3,0.18,130.7,6.4,,3800.3,2128.0
4,0,19.864,0.163,-,80,3,24.73,0.42,23.2,2.5,,3788.9,1950.4
4,0,20.476,0.056,-,80,4,15.83,0.14,205.2,8.4,,3785.3,1909.7
4,0,20.502,0.09,-,79,57,15.34,0.23,80.5,5.1,,3804.2,2245.5
4,0,21.338,0.168,-,80,0,6.03,0.44,21.0,2.3,,3794.7,2109.3
4,0,21.49,0.233,-,79,58,46.29,0.61,10.6,1.6,,3798.0,2173.0
4,0,21.976,0.201,-,80,2,6.68,0.52,14.6,1.9,,3788.0,2013.0
4,0,22.775,0.206,-,80,4,9.61,0.53,13.8,1.8,,3780.8,1914.9
4,0,22.859,0.236,-,79,59,55.36,0.61,10.3,1.6,,3792.1,2118.0
4,0,22.975,0.185,-,79,58,23.93,0.49,17.2,2.1,,3795.9,2191.0
4,0,22.997,0.113,-,79,59,11.85,0.3,51.7,4.0,,3793.7,2152.8
4,0,23.002,0.059,-,79,55,22.46,0.16,178.1,7.6,,3804.0,2336.0
4,0,23.006,0.175,-,79,54,59.92,0.46,19.0,2.2,,3805.0,2354.0
4,0,23.223,0.203,-,79,55,35.5,0.53,13.9,1.8,,3803.0,2325.6
4,0,23.695,0.128,-,80,5,23.82,0.33,39.4,3.4,,3775.6,1855.7
4,0,25.067,0.173,-,79,54,52.71,0.46,19.5,2.2,,3801.0,2360.0
4,0,25.452,0.212,-,80,1,3.99,0.55,13.0,1.8,,3783.6,2063.5
4,0,25.524,0.207,-,80,0,47.47,0.54,13.6,1.8,,3784.2,2076.7
4,0,25.59,0.191,-,80,7,15.78,0.49,16.5,2.0,,3766.7,1766.5
